run,seed,diffusion_mode,solver_steps,fixed_sigma,step,eval_loss_lm,intervention_zero_delta,intervention_swapped_delta,intervention_shifted_delta,intervention_perturbed_delta,intervention_attenuated_delta,intervention_inverted_delta,tokens_per_second
udlf_query_recall_fixed_diffusion_seed710,710,fixed,2,0.01,400,3.833037793636322,2.6204657554626465,1.5328083038330078,0.6213078498840332,0.06999857723712921,0.0014815330505371094,11.258667469024658,6395.948
udlf_query_recall_fixed_diffusion_seed711,711,fixed,2,0.01,400,3.8118208050727844,2.1096534729003906,1.8254661560058594,0.6994328498840332,0.041172683238983154,0.0038704872131347656,10.474796772003174,7838.535
udlf_query_recall_fixed_diffusion_seed712,712,fixed,2,0.01,400,3.9142231345176697,1.8063359260559082,1.4957189559936523,0.770967960357666,0.0297127366065979,0.002399921417236328,11.669339656829834,9190.128
udlf_query_recall_fixed_diffusion_seed713,713,fixed,2,0.01,400,4.150634050369263,0.8418292999267578,0.591221809387207,0.17859649658203125,0.016752183437347412,-0.0019240379333496094,0.7396965026855469,9146.462
udlf_query_recall_fixed_k1_seed721,721,fixed,1,0.01,400,4.022257924079895,1.1395535469055176,1.1714305877685547,0.2620062828063965,0.03836485743522644,0.005663871765136719,8.112831592559814,12335.885
udlf_query_recall_fixed_k1_seed722,722,fixed,1,0.01,400,3.9362111687660217,1.7131237983703613,1.4167561531066895,0.2792181968688965,0.022816628217697144,-0.0017077922821044922,5.584768772125244,12592.654
udlf_query_recall_fixed_k1_seed723,723,fixed,1,0.01,400,4.116782903671265,0.8358950614929199,0.9693841934204102,0.12976646423339844,0.016706854104995728,0.007262229919433594,7.032297134399414,10955.436
udlf_query_recall_fixed_k4_seed721,721,fixed,4,0.01,400,3.888865053653717,2.4848644733428955,1.785614252090454,0.5661633014678955,0.05251435935497284,0.003443002700805664,8.584283113479614,4910.383
udlf_query_recall_fixed_k4_seed722,722,fixed,4,0.01,400,3.734159767627716,2.93341064453125,1.5047640800476074,0.6671977043151855,0.032271161675453186,0.0020623207092285156,9.57347583770752,5426.11
udlf_query_recall_fixed_k4_seed723,723,fixed,4,0.01,400,3.951978623867035,2.1821975708007812,1.9398918151855469,0.806760311126709,0.02964891493320465,0.0009064674377441406,11.316781520843506,5544.819
udlf_query_recall_ode_ablation_seed710,710,ode,2,0.01,400,3.852184772491455,2.581681728363037,1.4842863082885742,0.5862326622009277,0.0027606040239334106,0.004786491394042969,10.57632064819336,7532.015
udlf_query_recall_ode_ablation_seed711,711,ode,2,0.01,400,3.8539613485336304,2.4782989025115967,1.3537724018096924,0.5318281650543213,0.0031343549489974976,-0.002122163772583008,8.847808122634888,9081.37
udlf_query_recall_ode_ablation_seed712,712,ode,2,0.01,400,3.9034277200698853,1.7987182140350342,1.4188730716705322,0.7269089221954346,0.001996368169784546,-0.0005481243133544922,12.384818315505981,9003.535
udlf_query_recall_ode_ablation_seed713,713,ode,2,0.01,400,4.437078833580017,0.30682945251464844,0.13341379165649414,0.03913402557373047,0.0005003511905670166,0.0003151893615722656,0.4660634994506836,7251.714
udlf_query_recall_state_dep_k1_seed720,720,state_dependent,1,0.01,400,3.8553683757781982,1.8483836650848389,1.7658584117889404,0.4939420223236084,0.04906100034713745,2.5510787963867188e-05,6.0087950229644775,11904.326
udlf_query_recall_state_dep_k1_seed721,721,state_dependent,1,0.01,400,3.991686701774597,1.5242624282836914,1.4163146018981934,0.35806941986083984,0.030009910464286804,-0.0024437904357910156,8.300764560699463,10128.216
udlf_query_recall_state_dep_k1_seed722,722,state_dependent,1,0.01,400,3.9100788235664368,2.1785526275634766,1.5368123054504395,0.3052973747253418,0.015866205096244812,-0.0011136531829833984,7.123637676239014,9925.379
udlf_query_recall_state_dep_k1_seed723,723,state_dependent,1,0.01,400,4.06019926071167,1.114448070526123,1.1580390930175781,0.20822381973266602,0.0015561282634735107,0.0010585784912109375,7.357954502105713,11485.135
udlf_query_recall_state_dep_k2_seed720,720,state_dependent,2,0.01,400,3.877715229988098,1.848158359527588,1.6757817268371582,0.5854239463806152,0.03765730559825897,0.01566934585571289,9.403366565704346,7466.498
udlf_query_recall_state_dep_k4_seed720,720,state_dependent,4,0.01,400,3.820602536201477,2.041170120239258,1.592447280883789,0.7583389282226562,0.03591078519821167,0.0024275779724121094,10.832403182983398,4174.317
udlf_query_recall_state_dep_k4_seed721,721,state_dependent,4,0.01,400,3.89345782995224,2.6205358505249023,1.9452810287475586,0.7124371528625488,0.03810514509677887,0.004911899566650391,7.776493549346924,5050.301
udlf_query_recall_state_dep_k4_seed722,722,state_dependent,4,0.01,400,3.748620629310608,2.4029791355133057,1.5278236865997314,0.7172996997833252,0.030756279826164246,0.011274337768554688,10.545413255691528,4518.632
udlf_query_recall_state_dep_k4_seed723,723,state_dependent,4,0.01,400,3.897395074367523,1.5701022148132324,1.7469549179077148,0.6399550437927246,0.02905486524105072,0.009219646453857422,12.124257564544678,4996.805
udlf_query_recall_state_dep_k8_seed720,720,state_dependent,8,0.01,400,3.8168634176254272,2.6519885063171387,1.9329400062561035,0.7202839851379395,0.039831772446632385,0.005423069000244141,12.674715518951416,2690.338
udlf_query_recall_state_dependent_diffusion_seed710,710,state_dependent,2,0.01,400,3.86638480424881,2.5812907218933105,1.5757956504821777,0.6025314331054688,0.04681740701198578,0.00811147689819336,9.685915470123291,7210.803
udlf_query_recall_state_dependent_diffusion_seed711,711,state_dependent,2,0.01,400,3.8190085887908936,1.7849524021148682,2.0249030590057373,0.6550338268280029,0.02438896894454956,-0.0011560916900634766,10.044015169143677,7912.84
udlf_query_recall_state_dependent_diffusion_seed712,712,state_dependent,2,0.01,400,3.9285678267478943,1.3566913604736328,1.188643455505371,0.6245632171630859,0.044277191162109375,0.003803730010986328,10.780350685119629,8536.31
udlf_query_recall_state_dependent_diffusion_seed713,713,state_dependent,2,0.01,400,3.886601746082306,1.4775457382202148,1.2874317169189453,0.5273556709289551,0.020395442843437195,-0.0016901493072509766,4.732977867126465,8612.105
