artifact,run,seed,diffusion_mode,solver_steps,fixed_sigma,checkpoint_step,pair_trials,perturb_trials,mix_alpha,eval_loss_lm,eval_loss_lm_sem,eval_loss_lm_ci95_low,eval_loss_lm_ci95_high,intervention_zero_delta,intervention_zero_delta_sem,intervention_zero_delta_ci95_low,intervention_zero_delta_ci95_high,intervention_swapped_delta,intervention_swapped_delta_sem,intervention_swapped_delta_ci95_low,intervention_swapped_delta_ci95_high,intervention_shifted_delta,intervention_shifted_delta_sem,intervention_shifted_delta_ci95_low,intervention_shifted_delta_ci95_high,intervention_mixed_delta,intervention_mixed_delta_sem,intervention_mixed_delta_ci95_low,intervention_mixed_delta_ci95_high,intervention_temporal_mixed_delta,intervention_temporal_mixed_delta_sem,intervention_temporal_mixed_delta_ci95_low,intervention_temporal_mixed_delta_ci95_high,intervention_perturbed_delta,intervention_perturbed_delta_sem,intervention_perturbed_delta_ci95_low,intervention_perturbed_delta_ci95_high,intervention_attenuated_delta,intervention_attenuated_delta_sem,intervention_attenuated_delta_ci95_low,intervention_attenuated_delta_ci95_high,intervention_inverted_delta,intervention_inverted_delta_sem,intervention_inverted_delta_ci95_low,intervention_inverted_delta_ci95_high
artifacts\phase4_crn_diffusion\fixed_seed710.json,udlf_query_recall_fixed_diffusion_seed710,710,fixed,2,0.01,400,4.0,16.0,0.2,3.9355669021606445,,,,2.250200033187866,0.0023473740064750065,2.245599180135175,2.2548008862405573,1.3583869934082031,0.004114005615945891,1.3503235424009492,1.366450444415457,0.7268345355987549,0.0018244340168849355,0.7232586449256604,0.7304104262718494,-0.00028783082962036133,0.001310828301658826,-0.00285705430087166,0.0022813926416309373,0.06118953227996826,0.0014032819012039387,0.058439099753608545,0.06393996480632798,0.040201764553785324,0.0029287596048249943,0.034461395728328334,0.045942133379242314,0.0017303824424743652,0.0006068382684457204,0.0005409794363207534,0.002919785448627977,11.754240989685059,0.00632990110517066,11.741834383518924,11.766647595851193
artifacts\phase4_crn_diffusion\fixed_seed711.json,udlf_query_recall_fixed_diffusion_seed711,711,fixed,2,0.01,400,4.0,16.0,0.2,3.8004115223884583,,,,1.9345749020576477,0.005614404020444052,1.9235706701775774,1.945579133937718,1.7847039103507996,0.003021726266290487,1.7787813268688701,1.790626493832729,0.7852193713188171,0.0024229363954647427,0.7804704159837063,0.789968326653928,0.032252490520477295,0.0011669503296146714,0.029965267874432537,0.03453971316652205,0.05678278207778931,0.0009234544639884029,0.054972811328372034,0.05859275282720658,0.04518710821866989,0.0011956375942738455,0.04284365853389315,0.04753055790344663,-0.0009000897407531738,0.0004717393246334786,-0.0018246988170347919,2.4519335528444194e-05,9.20000547170639,0.00322099957065302,9.19369231254791,9.206318630864871
artifacts\phase4_crn_diffusion\fixed_seed712.json,udlf_query_recall_fixed_diffusion_seed712,712,fixed,2,0.01,400,4.0,16.0,0.2,3.9402204751968384,,,,2.1862123012542725,0.0016241865080229446,2.1830288956985475,2.1893957068099974,1.8493221998214722,0.0016522042976075924,1.8460838793981613,1.852560520244783,0.649086594581604,0.0020058525888010095,0.645155123507554,0.653018065655654,0.04644882678985596,0.00043972520535121614,0.045586965387367576,0.04731068819234434,0.015286147594451904,0.0006621487714323583,0.013988336002444483,0.016583959186459326,0.036668602377176285,0.0007045170507558462,0.03528774895769483,0.03804945579665774,0.003074824810028076,0.0002532231179325004,0.0025785074988803752,0.003571142121175777,11.807544827461243,0.0047706303020193415,11.798194392069284,11.816895262853201
artifacts\phase4_crn_diffusion\fixed_seed713.json,udlf_query_recall_fixed_diffusion_seed713,713,fixed,2,0.01,400,4.0,16.0,0.2,4.204992651939392,,,,0.9457623958587646,0.0027222357697203963,0.9404268137501127,0.9510979779674166,0.7641969919204712,0.0035186705249461306,0.7573003976915768,0.7710935861493656,0.20602130889892578,0.001463151646114016,0.2031535316725423,0.20888908612530926,0.010619163513183594,0.0009938032074392586,0.008671309226602647,0.01256701779976454,0.01600039005279541,0.0010965612602146996,0.013851129982774598,0.018149650122816222,0.002385087311267853,0.0016624433770156977,-0.0008733017076829148,0.00564347633021862,0.0020673274993896484,0.00040452565400324206,0.001274457217543294,0.002860197781236003,0.778571367263794,0.0028455887132167027,0.7729940133858892,0.7841487211416986
artifacts\phase4_crn_diffusion\ode_seed710.json,udlf_query_recall_ode_ablation_seed710,710,ode,2,0.01,400,4.0,16.0,0.2,3.9451098442077637,,,,2.3173928260803223,0.0,2.3173928260803223,2.3173928260803223,1.2134594917297363,0.0,1.2134594917297363,1.2134594917297363,0.7574501037597656,0.0,0.7574501037597656,0.7574501037597656,-0.0027091503143310547,0.0,-0.0027091503143310547,-0.0027091503143310547,0.05416989326477051,0.0,0.05416989326477051,0.05416989326477051,-0.000860605388879776,0.0001331881252323941,-0.0011216541143352684,-0.0005995566634242836,6.985664367675781e-05,0.0,6.985664367675781e-05,6.985664367675781e-05,11.532679080963135,0.0,11.532679080963135,11.532679080963135
artifacts\phase4_crn_diffusion\ode_seed711.json,udlf_query_recall_ode_ablation_seed711,711,ode,2,0.01,400,4.0,16.0,0.2,3.828211545944214,,,,2.2557952404022217,0.0,2.2557952404022217,2.2557952404022217,1.4023029804229736,0.0,1.4023029804229736,1.4023029804229736,0.6640369892120361,0.0,0.6640369892120361,0.6640369892120361,0.04784798622131348,0.0,0.04784798622131348,0.04784798622131348,0.039748430252075195,0.0,0.039748430252075195,0.039748430252075195,0.0028505101799964905,0.00042555124346489086,0.0020164297428053044,0.0036845906171876766,0.002529144287109375,0.0,0.002529144287109375,0.002529144287109375,8.412898302078247,0.0,8.412898302078247,8.412898302078247
artifacts\phase4_crn_diffusion\ode_seed712.json,udlf_query_recall_ode_ablation_seed712,712,ode,2,0.01,400,4.0,16.0,0.2,3.9242095947265625,,,,2.3567633628845215,0.0,2.3567633628845215,2.3567633628845215,1.9478864669799805,0.0,1.9478864669799805,1.9478864669799805,0.7590289115905762,0.0,0.7590289115905762,0.7590289115905762,0.022999286651611328,0.0,0.022999286651611328,0.022999286651611328,0.05307459831237793,0.0,0.05307459831237793,0.05307459831237793,0.0013843178749084473,0.0003645555317270311,0.0006697890327234664,0.002098846717093428,0.002048492431640625,0.0,0.002048492431640625,0.002048492431640625,13.009809494018555,0.0,13.009809494018555,13.009809494018555
artifacts\phase4_crn_diffusion\ode_seed713.json,udlf_query_recall_ode_ablation_seed713,713,ode,2,0.01,400,4.0,16.0,0.2,4.460784435272217,,,,0.26308679580688477,0.0,0.26308679580688477,0.26308679580688477,0.08124256134033203,0.0,0.08124256134033203,0.08124256134033203,0.04563188552856445,0.0,0.04563188552856445,0.04563188552856445,0.005284786224365234,0.0,0.005284786224365234,0.005284786224365234,0.0011639595031738281,0.0,0.0011639595031738281,0.0011639595031738281,0.00046143680810928345,6.779107069536742e-05,0.00032856630954636334,0.0005943073066722036,-0.0004887580871582031,0.0,-0.0004887580871582031,-0.0004887580871582031,0.5066075325012207,0.0,0.5066075325012207,0.5066075325012207
artifacts\phase4_crn_diffusion\state_dependent_seed710.json,udlf_query_recall_state_dependent_diffusion_seed710,710,state_dependent,2,0.01,400,4.0,16.0,0.2,3.928611099720001,,,,2.1603376269340515,0.004511304950813338,2.1514954692304573,2.1691797846376457,1.346653401851654,0.007300404840148817,1.3323446083649624,1.3609621953383457,0.6094072461128235,0.0031346017583866,0.6032634266663858,0.6155510655592612,0.019860804080963135,0.0024139712207010824,0.015129420488389014,0.024592187673537255,0.04343169927597046,0.001240122263874646,0.04100105963877615,0.04586233891316477,0.024637125432491302,0.0018046609061054336,0.021099990056524652,0.028174260808457953,0.002616584300994873,0.00016945080559636918,0.0022844607220259897,0.0029487078799637564,10.12196010351181,0.009841530331323487,10.102670704062417,10.141249502961204
artifacts\phase4_crn_diffusion\state_dependent_seed711.json,udlf_query_recall_state_dependent_diffusion_seed711,711,state_dependent,2,0.01,400,4.0,16.0,0.2,3.819190204143524,,,,1.5239507555961609,0.0018564053628830459,1.5203122010849102,1.5275893101074116,1.9140533804893494,0.004565728954024589,1.9051045517394611,1.9230022092392376,0.8168650269508362,0.0019951204379443305,0.8129545908924652,0.8207754630092071,0.028686583042144775,0.0009219291540953979,0.026879601900117796,0.030493564184171755,0.06290405988693237,0.0006397031830066394,0.06165024164823936,0.06415787812562539,0.0296524316072464,0.0015514512976699821,0.026611587063813235,0.032693276150679566,0.004204809665679932,0.0007468707754387185,0.0027409429458200435,0.00566867638553982,9.653003752231598,0.005698734665395138,9.641834232287424,9.664173272175772
artifacts\phase4_crn_diffusion\state_dependent_seed712.json,udlf_query_recall_state_dependent_diffusion_seed712,712,state_dependent,2,0.01,400,4.0,16.0,0.2,3.930039644241333,,,,1.857956051826477,0.004273573109545852,1.8495798485317672,1.866332255121187,1.4935914278030396,0.009544065999154644,1.4748850584446964,1.5122977971613827,0.5056129693984985,0.003533398419162963,0.4986875084969391,0.512538430300058,0.023444950580596924,0.002000839541561034,0.0195233050791373,0.02736659608205655,0.01644676923751831,0.0027626917060379823,0.011031893493683866,0.021861644981352756,0.0726715512573719,0.0016993419731037936,0.06934084099008847,0.07600226152465533,0.0025289058685302734,0.0004080878569730034,0.0017290536688631868,0.0033287580681973603,10.877285480499268,0.01566472285841862,10.846582623696767,10.907988337301768
artifacts\phase4_crn_diffusion\state_dependent_seed713.json,udlf_query_recall_state_dependent_diffusion_seed713,713,state_dependent,2,0.01,400,4.0,16.0,0.2,3.9194125533103943,,,,1.4576697945594788,0.002137051166346284,1.4534811742734401,1.4618584148455174,1.6118982434272766,0.005828480234897837,1.6004744221668767,1.6233220646876765,0.5534436106681824,0.0024892463895558356,0.548564687744653,0.5583225335917118,0.017732560634613037,0.000516975201246109,0.016719289240170663,0.01874583202905541,0.0484125018119812,0.0007553419447436963,0.04693203160028356,0.049892972023678844,0.01821034401655197,0.0020900807553419693,0.014113785736081711,0.02230690229702223,0.0012285709381103516,0.0007867728399051892,-0.00031350382810381916,0.0027706457043245223,4.658643543720245,0.006519495101069311,4.645865333322149,4.671421754118342
